order_number,order_date,financial_status,fulfillment_status,country,province,city,customer_ref,product_title,product_type,vendor,sku,variant_title,quantity,unit_price,line_discount,line_total,order_total,currency,source_name
#2228,2025-12-09,paid,fulfilled,Germany,Berlin,Berlin,cust_00928,Walnut Wool Throw,Bedding,Nordic Sleep,SKU-0027-01,Medium,2,63.89,0,127.78,154.61,EUR,web
#3146,2026-04-03,paid,fulfilled,France,Île-de-France,Versailles,cust_00348,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,Large,1,16.22,0,16.22,74.4,EUR,web
#3146,2026-04-03,paid,fulfilled,France,Île-de-France,Versailles,cust_00348,Linen Reading Light,Lighting,Lumen Co,SKU-0036-02,,1,30.35,0,30.35,74.4,EUR,web
#3146,2026-04-03,paid,fulfilled,France,Île-de-France,Versailles,cust_00348,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-03,Charcoal,1,14.92,0,14.92,74.4,EUR,web
#1864,2025-11-11,refunded,fulfilled,France,Occitanie,Toulouse,cust_00316,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,Small,1,33.99,0,33.99,41.13,EUR,web
#1607,2025-10-19,paid,fulfilled,Spain,Cataluña,Girona,cust_00326,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,,1,33.99,0,33.99,57.06,EUR,web
#1607,2025-10-19,paid,fulfilled,Spain,Cataluña,Girona,cust_00326,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-02,,1,13.17,0,13.17,57.06,EUR,web
#2365,2025-12-19,paid,fulfilled,France,Île-de-France,Versailles,cust_00758,Ceramic Shower Curtain,Bath,Pure Bath,SKU-0054-01,,1,32.3,0,32.3,143.84,EUR,web
#2365,2025-12-19,paid,fulfilled,France,Île-de-France,Versailles,cust_00758,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-02,Small,1,32.28,0,32.28,143.84,EUR,web
#2365,2025-12-19,paid,fulfilled,France,Île-de-France,Versailles,cust_00758,Walnut Mixing Bowl,Kitchen,Aurora Kitchen,SKU-0008-03,Large,1,38.08,0,38.08,143.84,EUR,web
#2365,2025-12-19,paid,fulfilled,France,Île-de-France,Versailles,cust_00758,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-04,,1,16.22,0,16.22,143.84,EUR,web
#2031,2025-11-25,paid,fulfilled,Spain,Galicia,A Coruña,cust_00868,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,Charcoal,1,23.35,0,23.35,141.59,EUR,web
#2031,2025-11-25,paid,fulfilled,Spain,Galicia,A Coruña,cust_00868,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-02,Small,1,33.99,0,33.99,141.59,EUR,web
#2031,2025-11-25,paid,fulfilled,Spain,Galicia,A Coruña,cust_00868,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-03,,4,14.92,0,59.68,141.59,EUR,web
#1687,2025-10-27,paid,fulfilled,Germany,Berlin,Berlin,cust_00928,Oak Chef Knife,Kitchen,Aurora Kitchen,SKU-0001-01,Charcoal,3,24.54,10.02,63.6,76.96,EUR,pos
#3177,2026-04-07,paid,fulfilled,France,Île-de-France,Versailles,cust_00419,Walnut Ceramic Bowl Set,Kitchen,Aurora Kitchen,SKU-0003-01,,1,44.02,0,44.02,148.81,EUR,mobile
#3177,2026-04-07,paid,fulfilled,France,Île-de-France,Versailles,cust_00419,Stone Wool Throw,Bedding,Nordic Sleep,SKU-0019-02,,2,39.48,0,78.96,148.81,EUR,mobile
#3817,2026-07-02,paid,fulfilled,France,Provence,Marseille,cust_00637,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,,1,23.35,0,23.35,106.37,EUR,web
#3817,2026-07-02,paid,fulfilled,France,Provence,Marseille,cust_00637,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-02,Large,2,32.28,0,64.56,106.37,EUR,web
#2997,2026-03-12,paid,fulfilled,Spain,Galicia,A Coruña,cust_00664,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,,3,33.99,7.24,94.73,378.81,EUR,web
#2997,2026-03-12,paid,fulfilled,Spain,Galicia,A Coruña,cust_00664,Stone Bed Runner,Bedding,Nordic Sleep,SKU-0024-02,Natural,3,47.82,0,143.46,378.81,EUR,web
#2997,2026-03-12,paid,fulfilled,Spain,Galicia,A Coruña,cust_00664,Stone Serving Platter,Kitchen,Aurora Kitchen,SKU-0010-03,Charcoal,1,28.1,0,28.1,378.81,EUR,web
#2997,2026-03-12,paid,fulfilled,Spain,Galicia,A Coruña,cust_00664,Terracotta Outdoor Cushion,Outdoor,Terra Garden,SKU-0060-04,,2,23.39,0,46.78,378.81,EUR,web
#3209,2026-04-11,paid,fulfilled,Portugal,Porto,Braga,cust_00335,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-01,Small,1,13.17,1.38,11.79,14.27,EUR,web
#3229,2026-04-15,paid,fulfilled,France,Île-de-France,Paris,cust_01033,Marble Bath Mat,Bath,Pure Bath,SKU-0052-01,,1,31.82,5.14,26.68,32.28,EUR,web
#1629,2025-10-21,paid,fulfilled,France,Occitanie,Toulouse,cust_00866,Stone Espresso Mug,Kitchen,Aurora Kitchen,SKU-0005-01,,1,17.01,0,17.01,136.09,EUR,web
#1629,2025-10-21,paid,fulfilled,France,Occitanie,Toulouse,cust_00866,Marble Bath Mat,Bath,Pure Bath,SKU-0052-02,Charcoal,3,31.82,0,95.46,136.09,EUR,web
#3004,2026-03-13,paid,fulfilled,France,Occitanie,Montpellier,cust_01190,Walnut Mixing Bowl,Kitchen,Aurora Kitchen,SKU-0008-01,,1,38.08,7.24,30.84,37.32,EUR,web
#2521,2025-12-30,paid,fulfilled,Portugal,Lisboa,Cascais,cust_00141,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,,1,33.99,0,33.99,57.11,EUR,web
#2521,2025-12-30,paid,fulfilled,Portugal,Lisboa,Cascais,cust_00141,Ceramic Tea Kettle,Kitchen,Aurora Kitchen,SKU-0009-02,,1,13.93,0.72,13.21,57.11,EUR,web
#1840,2025-11-10,paid,fulfilled,France,Provence,Marseille,cust_00533,Copper Picture Frame,Decor,Casa Bonita,SKU-0050-01,Large,1,17.19,1.5,15.69,18.98,EUR,mobile
#3323,2026-04-27,paid,fulfilled,Portugal,Porto,Braga,cust_01116,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,,1,17.85,0,17.85,21.6,EUR,web
#2239,2025-12-10,paid,fulfilled,France,Île-de-France,Versailles,cust_00634,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-01,,1,14.92,0,14.92,100.31,EUR,web
